$----------------------------------------------------------------------------
$ Casos de Carregamento do CAD/Alvest.          Data: 03/05/2022  20:03:29 h.
$----------------------------------------------------------------------------
$ Quantidade de casos Verticais acumulados:   4, Sepr_Acid: 1 Red_Acid_Cas: 9
  CARGAS CASO   1   $ Caso de Carregamento CAD/Alvest.
$ Geração de cargas para total de:     5828.385 tf (com P/J).
    CON      -625.500,       740.000    FZ         0.598       $ Angz         0.000 CargaP/J
    CON      -965.500,       655.000    FZ         1.453       $ Angz       180.000 CargaP/J
    CON       345.500,       710.000    FZ         0.598       $ Angz         0.000 CargaP/J
    CON       630.500,       710.000    FZ         0.598       $ Angz         0.000 CargaP/J
    CON       965.500,       580.000    FZ         1.453       $ Angz         0.000 CargaP/J
    CON     -1785.500,       675.000    FZ         0.598       $ Angz       180.000 CargaP/J
    CON     -1398.000,       535.000    FZ         1.360       $ Angz         0.000 CargaP/J
    CON      1785.500,       675.000    FZ         0.554       $ Angz         0.000 CargaP/J
    CON      1398.000,       535.000    FZ         1.360       $ Angz       180.000 CargaP/J
    CON      2008.000,       330.000    FZ         0.313       $ Angz       270.000 CargaP/J
    CON      -370.500,       580.000    FZ         0.598       $ Angz       180.000 CargaP/J
    CON        10.500,       580.000    FZ         1.453       $ Angz         0.000 CargaP/J
    CON     -2008.000,       330.000    FZ         0.313       $ Angz        90.000 CargaP/J
    CON      2008.000,       127.500    FZ         0.590       $ Angz       270.000 CargaP/J
    CON     -2008.000,      -127.500    FZ         0.590       $ Angz        90.000 CargaP/J
    CON     -2008.000,       127.500    FZ         0.590       $ Angz        90.000 CargaP/J
    CON      2008.000,      -127.500    FZ         0.590       $ Angz       270.000 CargaP/J
    CON      2008.000,      -330.000    FZ         0.313       $ Angz       270.000 CargaP/J
    CON      -370.500,      -580.000    FZ         0.598       $ Angz       180.000 CargaP/J
    CON        10.500,      -580.000    FZ         1.453       $ Angz         0.000 CargaP/J
    CON     -1785.500,      -675.000    FZ         0.598       $ Angz         0.000 CargaP/J
    CON     -2008.000,      -330.000    FZ         0.313       $ Angz        90.000 CargaP/J
    CON     -1398.000,      -535.000    FZ         1.360       $ Angz         0.000 CargaP/J
    CON      1398.000,      -535.000    FZ         1.360       $ Angz       180.000 CargaP/J
    CON      1785.500,      -675.000    FZ         0.598       $ Angz         0.000 CargaP/J
    CON       345.500,      -710.000    FZ         0.598       $ Angz       180.000 CargaP/J
    CON       965.500,      -580.000    FZ         1.453       $ Angz         0.000 CargaP/J
    CON       630.500,      -710.000    FZ         0.598       $ Angz       180.000 CargaP/J
    CON      -965.500,      -625.000    FZ         1.453       $ Angz       180.000 CargaP/J
    CON      -625.500,      -740.000    FZ         0.598       $ Angz       180.000 CargaP/J
$  Carga Total (sem P/J):     5803.480 tf,  Discretizada:     5667.158 tf.
$  Fator_correção:    1.0240547 (em    784 ptos).
    CON      -758.000,       490.000    FZ        10.981   $  Angz        90.000 Carga Blc
    CON      -758.000,       527.500    FZ        12.550   $  Angz        90.000 Carga Blc
    CON      -758.000,       685.000    FZ         1.569   $  Angz        90.000 Carga Blc
    CON      -758.000,       730.000    FZ         1.569   $  Angz        90.000 Carga Blc
    CON      -758.000,       567.500    FZ        12.550   $  Angz        90.000 Carga Blc
    CON      -758.000,       607.500    FZ        12.550   $  Angz        90.000 Carga Blc
    CON      -748.000,       410.000    FZ         1.569   $  Angz         0.000 Carga Blc
    CON      -715.500,       740.000    FZ         6.275   $  Angz         0.000 Carga Blc
    CON      -745.500,       740.000    FZ        12.550   $  Angz       180.000 Carga Blc
    CON      -758.000,       420.000    FZ        10.981   $  Angz        90.000 Carga Blc
    CON      -758.000,       655.000    FZ         8.628   $  Angz        90.000 Carga Blc
    CON      -758.000,       655.000    FZ         8.628   $  Angz        90.000 Carga Blc
    CON      -758.000,       707.500    FZ        12.550   $  Angz        90.000 Carga Blc
    CON      -758.000,       455.000    FZ        10.981   $  Angz        90.000 Carga Blc
    CON      -493.000,       730.000    FZ         0.887   $  Angz        90.000 Carga Blc
    CON      -493.000,       455.000    FZ         6.206   $  Angz        90.000 Carga Blc
    CON      -493.000,       532.500    FZ         7.093   $  Angz        90.000 Carga Blc
    CON      -493.000,       492.500    FZ         7.093   $  Angz        90.000 Carga Blc
    CON      -493.000,       627.500    FZ         7.093   $  Angz        90.000 Carga Blc
    CON      -493.000,       667.500    FZ         7.093   $  Angz        90.000 Carga Blc
    CON      -555.500,       410.000    FZ         7.093   $  Angz         0.000 Carga Blc
    CON      -645.500,       410.000    FZ         3.546   $  Angz         0.000 Carga Blc
    CON      -633.000,       410.000    FZ         0.887   $  Angz         0.000 Carga Blc
    CON      -535.500,       740.000    FZ         3.546   $  Angz         0.000 Carga Blc
    CON      -468.000,       580.000    FZ         6.206   $  Angz       180.000 Carga Blc
    CON      -493.000,       707.500    FZ         7.093   $  Angz        90.000 Carga Blc
    CON      -518.000,       410.000    FZ         6.206   $  Angz         0.000 Carga Blc
    CON      -505.500,       740.000    FZ         7.093   $  Angz         0.000 Carga Blc
    CON      -493.000,       580.000    FZ         4.876   $  Angz       270.000 Carga Blc
    CON      -493.000,       580.000    FZ         4.876   $  Angz       270.000 Carga Blc
    CON      -493.000,       420.000    FZ         6.206   $  Angz        90.000 Carga Blc
    CON      -603.000,       410.000    FZ         4.876   $  Angz       180.000 Carga Blc
    CON      -603.000,       410.000    FZ         4.876   $  Angz       180.000 Carga Blc
    CON       218.000,       665.000    FZ         8.851   $  Angz       270.000 Carga Blc
    CON       218.000,       627.500    FZ        10.115   $  Angz        90.000 Carga Blc
    CON       218.000,       497.500    FZ        10.115   $  Angz        90.000 Carga Blc
    CON       218.000,       535.000    FZ         8.851   $  Angz       270.000 Carga Blc
    CON       218.000,       457.500    FZ        10.115   $  Angz        90.000 Carga Blc
    CON       218.000,       417.500    FZ        10.115   $  Angz       270.000 Carga Blc
    CON       245.500,       710.000    FZ        10.115   $  Angz       180.000 Carga Blc
    CON       218.000,       700.000    FZ         8.851   $  Angz       270.000 Carga Blc
    CON       218.000,       387.500    FZ         5.058   $  Angz        90.000 Carga Blc
    CON       218.000,       580.000    FZ         6.954   $  Angz        90.000 Carga Blc
    CON       218.000,       580.000    FZ         6.954   $  Angz        90.000 Carga Blc
    CON       488.000,       562.500    FZ         6.992   $  Angz        90.000 Carga Blc
    CON       488.000,       480.000    FZ         9.614   $  Angz        90.000 Carga Blc
    CON       488.000,       642.500    FZ         6.992   $  Angz        90.000 Carga Blc
    CON       488.000,       602.500    FZ         6.992   $  Angz        90.000 Carga Blc
    CON       488.000,       525.000    FZ         6.118   $  Angz        90.000 Carga Blc
    CON       488.000,       432.500    FZ         6.992   $  Angz        90.000 Carga Blc
    CON       488.000,       352.500    FZ         6.992   $  Angz        90.000 Carga Blc
    CON       488.000,       392.500    FZ         6.992   $  Angz        90.000 Carga Blc
    CON       555.500,       305.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       595.500,       305.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       663.000,       155.000    FZ         0.874   $  Angz        90.000 Carga Blc
    CON       663.000,       110.000    FZ         0.874   $  Angz        90.000 Carga Blc
    CON       548.000,       165.000    FZ         6.118   $  Angz       180.000 Carga Blc
    CON       265.500,       165.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       710.500,       165.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       618.000,       165.000    FZ         6.118   $  Angz       180.000 Carga Blc
    CON       583.000,       165.000    FZ         6.118   $  Angz       180.000 Carga Blc
    CON       535.500,       -20.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       575.500,       -20.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       478.000,       165.000    FZ         0.874   $  Angz         0.000 Carga Blc
    CON       663.000,        -2.500    FZ         3.496   $  Angz        90.000 Carga Blc
    CON       615.500,       -20.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       420.500,       305.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       380.500,       305.000    FZ         6.992   $  Angz         0.000 Carga Blc
    CON       488.000,       257.500    FZ         6.992   $  Angz        90.000 Carga Blc
    CON       488.000,       217.500    FZ         6.992   $  Angz        90.000 Carga Blc
    CON       443.000,       710.000    FZ         6.118   $  Angz       180.000 Carga Blc
    CON       533.000,       710.000    FZ         6.118   $  Angz       360.000 Carga Blc
    CON       468.000,       117.500    FZ         6.992   $  Angz       270.000 Carga Blc
    CON       468.000,        62.500    FZ         6.992   $  Angz        90.000 Carga Blc
